id;EP_indicator;source;source type;input vector/activity;activity type;output vector/activity;carrier/technology;carrier/technology type;attribute name;value;unit;internal comments;;;;
49;summary;;;Heat and power (CHP, PP, Boilers);Supply;District heating supply;Solar;Solar thermal;Solar3 Heat;0.0;;;;;;
50;summary;;;;Thermal storage;;Thermal storage;Solar thermal storage;Sol3 Str Heat;0.0;;;;;;
51;summary;;;;Thermal storage;;Thermal storage;DH thermal storage;Storage3 Heat;0.0;;;;;;
52;summary;;;District heating supply;Balance;District heating demand;Balance;DH balance;Balance3 Heat;0.0;;;;;;
53;summary;;;Electricity;Supply;Electricity demand;;;Flexible Electr.;8.29;;;;;;
54;summary;;;Electricity;Consumption;District heating supply;Heat pumps;Heat pumps (DH);HP Electr.;0.0;;Disaggregate large scale HP and HH-HP;;;;
55;summary;;;Heat and power (CHP, PP, Boilers);Supply;Electricity;CHP plants;Industrial CHP;CSHP Electr.;4.51;;;;;;
56;summary;;;Heat and power (CHP, PP, Boilers);Supply;Electricity;CHP plants;CHP plants (back-pressure);CHP Electr.;7.33;;;;;;
57;summary;;;Heat and power (CHP, PP, Boilers);Supply;Electricity;Power plants;Condensing power plant;PP Electr.;39.45;;;;;;
58;summary;;;Heat and power (CHP, PP, Boilers);Supply;Electricity;Power plants;Condensing power plant;PP2 Electr.;0.0;;;;;;
59;summary;Nuclear;Nuclear;Nuclear;Supply;Electricity;Nuclear plants;Nuclear plants;Nuclear Electr.;0.0;;;;;;
60;summary;Geothermal;Geothermal;RES;Supply;Electricity;Geothermal;Geothermal electricity;Geother. Electr.;0.0;;;;;;
61;summary;;;Electricity;Consumption;Electricity storage;Electricity storage;Hydro pump;Pump Electr.;0.0;;;;;;
62;summary;;;Electricity storage;Supply;Electricity;Electricity storage;Hydro turbine;Turbine Electr.;0.0;;;;;;
63;summary;;;;Storage;Electricity storage;Electricity storage;Hydro pump/turbine;Pumped Storage;0.0;;;;;;
64;summary;;;Electricity;Consumption;Electricity storage;Electricity storage;Hydro pump;Pump2 Electr.;0.0;;;;;;
65;summary;;;Electricity storage;Supply;Electricity;Electricity storage;Hydro turbine;Turbine2 Electr.;0.0;;;;;;
66;summary;;;;Electricity storage;Electricity storage;Hydro;Hydro pump/turbine;Pumped2 Storage;0.0;;;;;;
67;summary;;;Electricity;Consumption;Electricity storage;Electricity storage;Rockbed storage;Rock in Electr.;0.0;;;;;;
68;summary;;;Electricity storage;Supply;Electricity;Electricity storage;Rockbed storage;Rock out Steam;0.0;;;;;;
