id;EP_indicator;source;source type;input vector/activity;activity type;output vector/activity;carrier/technology;carrier/technology type;attribute name;value;unit;internal comments;;;;
220;pes;Coal;Fossil fuel;Fossil fuel;Primary energy supply;;;CAES/ELT;CAES/ELT - Coal;0.0;;;;;;
221;pes;Oil;Fossil fuel;Fossil fuel;Primary energy supply;;;CAES/ELT;CAES/ELT - Oil;0.0;;;;;;
222;pes;N.Gas;Fossil fuel;Fossil fuel;Primary energy supply;;;CAES/ELT;CAES/ELT - N.Gas;0.0;;;;;;
223;pes;Biomass;Biomass, biofuels & waste;RES;Primary energy supply;;;CAES/ELT;CAES/ELT - Biomass;0.0;;;;;;
224;pes;Renewable;VRES;RES;Primary energy supply;;;CAES/ELT;CAES/ELT - Renewable;0.0;;;;;;
225;pes;H2 etc.;Hydrogen;RES;Primary energy supply;Biofuels;;CAES/ELT;CAES/ELT - H2 etc.;0.0;;;;;;
226;pes;Biofuel;Biomass, biofuels & waste;RES;Primary energy supply;;;CAES/ELT;CAES/ELT - Biofuel;0.0;;;;;;
227;pes;Nucl/CCS;Nuclear;Nuclear;Primary energy supply;;;CAES/ELT;CAES/ELT - Nucl/CCS;0.0;;;;;;
228;pes;Coal;Fossil fuel;Fossil fuel;Primary energy supply;;;BioCon;BioCon - Coal;0.0;;;;;;
229;pes;Oil;Fossil fuel;Fossil fuel;Primary energy supply;;;BioCon;BioCon - Oil;0.0;;;;;;
230;pes;N.Gas;Fossil fuel;RES;Primary energy supply;Fossil fuel;;BioCon;BioCon - N.Gas;-23.3;;;;;;
231;pes;Biomass;Biomass, biofuels & waste;RES;Primary energy supply;Biofuels;;BioCon;BioCon - Biomass;64.69;;;;;;
232;pes;Renewable;VRES;RES;Primary energy supply;;;BioCon;BioCon - Renewable;0.0;;;;;;
233;pes;H2 etc.;Hydrogen;RES;Primary energy supply;Biofuels;;BioCon;BioCon - H2 etc.;0.0;;;;;;
234;pes;Biofuel;Biomass, biofuels & waste;Biofuels;Primary energy supply;Transport;;BioCon;BioCon - Biofuel;-16.55;;;;;;
235;pes;Nucl/CCS;Nuclear;Nuclear;Primary energy supply;;;BioCon;BioCon - Nucl/CCS;0.0;;;;;;
236;pes;Coal;Fossil fuel;Fossil fuel;Primary energy supply;;;EFuel;EFuel - Coal;0.0;;;;;;
237;pes;Oil;Fossil fuel;Fossil fuel;Primary energy supply;;;EFuel;EFuel - Oil;0.0;;;;;;
238;pes;N.Gas;Fossil fuel;Fossil fuel;Primary energy supply;;;EFuel;EFuel - N.Gas;0.0;;;;;;
239;pes;Biomass;Biomass, biofuels & waste;RES;Primary energy supply;;;EFuel;EFuel - Biomass;0.0;;;;;;
240;pes;Renewable;VRES;RES;Primary energy supply;;;EFuel;EFuel - Renewable;0.0;;;;;;
241;pes;H2 etc.;Hydrogen;RES;Primary energy supply;Biofuels;;EFuel;EFuel - H2 etc.;0.0;;;;;;
242;pes;Biofuel;Biomass, biofuels & waste;RES;Primary energy supply;Biofuels;;EFuel;EFuel - Biofuel;0.04;;;;;;
243;pes;Nucl/CCS;Nuclear;Nuclear;Primary energy supply;;;EFuel;EFuel - Nucl/CCS;0.0;;;;;;
244;pes;Coal;Fossil fuel;Fossil fuel;Primary energy supply;;;VRES;VRES - Coal;0.0;;;;;;
245;pes;Oil;Fossil fuel;Fossil fuel;Primary energy supply;;;VRES;VRES - Oil;0.0;;;;;;
246;pes;N.Gas;Fossil fuel;Fossil fuel;Primary energy supply;;;VRES;VRES - N.Gas;0.0;;;;;;
247;pes;Biomass;Biomass, biofuels & waste;RES;Primary energy supply;;;VRES;VRES - Biomass;0.0;;;;;;
248;pes;Renewable;VRES;RES;Primary energy supply;;;VRES;VRES - Renewable;68.35;;;68,35;;;
249;pes;H2 etc.;Hydrogen;RES;Primary energy supply;;;VRES;VRES - H2 etc.;0.0;;;;;;
250;pes;Biofuel;Biomass, biofuels & waste;RES;Primary energy supply;;;VRES;VRES - Biofuel;0.0;;;;;;
251;pes;Nucl/CCS;Nuclear;Nuclear;Primary energy supply;;;VRES;VRES - Nucl/CCS;0.0;;;;;;
252;pes;Coal;Fossil fuel;Fossil fuel;Primary energy supply;;;SolarTh;SolarTh - Coal;0.0;;;;;;
253;pes;Oil;Fossil fuel;Fossil fuel;Primary energy supply;;;SolarTh;SolarTh - Oil;0.0;;;;;;
254;pes;N.Gas;Fossil fuel;Fossil fuel;Primary energy supply;;;SolarTh;SolarTh - N.Gas;0.0;;;;;;
255;pes;Biomass;Biomass, biofuels & waste;RES;Primary energy supply;;;SolarTh;SolarTh - Biomass;0.0;;;;;;
256;pes;Renewable;VRES;RES;Primary energy supply;;;SolarTh;SolarTh - Renewable;0.02;;;;;;
257;pes;H2 etc.;Hydrogen;RES;Primary energy supply;;;SolarTh;SolarTh - H2 etc.;0.0;;;;;;
258;pes;Biofuel;Biomass, biofuels & waste;RES;Primary energy supply;;;SolarTh;SolarTh - Biofuel;0.0;;;;;;
259;pes;Nucl/CCS;Nuclear;Nuclear;Primary energy supply;;;SolarTh;SolarTh - Nucl/CCS;0.0;;;;;;
260;pes;Coal;Fossil fuel;Fossil fuel;Primary energy supply;;;Transp.;Transp. - Coal;0.0;;;;;;
261;pes;Oil;Fossil fuel;Fossil fuel;Primary energy supply;Transport;;Transp.;Transp. - Oil;435.4;;;;;;
262;pes;N.Gas;Fossil fuel;Fossil fuel;Primary energy supply;Transport;;Transp.;Transp. - N.Gas;1.82;;;;;;
263;pes;Biomass;Biomass, biofuels & waste;RES;Primary energy supply;;;Transp.;Transp. - Biomass;0.0;;;;;;
264;pes;Renewable;VRES;RES;Primary energy supply;;;Transp.;Transp. - Renewable;0.0;;;;;;
265;pes;H2 etc.;Hydrogen;RES;Primary energy supply;Transport;;Transp.;Transp. - H2 etc.;0.0;;;;;;
266;pes;Biofuel;Biomass, biofuels & waste;RES;Primary energy supply;Transport;;Transp.;Transp. - Biofuel;16.78;;;;;;
267;pes;Nucl/CCS;Nuclear;Nuclear;Primary energy supply;;;Transp.;Transp. - Nucl/CCS;0.0;;;;;;
268;pes;Coal;Fossil fuel;Fossil fuel;Primary energy supply;Individual supply;Indv. Boilers (incl. micro CHP);Househ;Househ - Coal;22.32;;;;;;
269;pes;Oil;Fossil fuel;Fossil fuel;Primary energy supply;Individual supply;Indv. Boilers (incl. micro CHP);Househ;Househ - Oil;89.27;;;;;;
270;pes;N.Gas;Fossil fuel;Fossil fuel;Primary energy supply;Individual supply;Indv. Boilers (incl. micro CHP);Househ;Househ - N.Gas;267.45;;;;;;
271;pes;Biomass;Biomass, biofuels & waste;RES;Primary energy supply;Individual supply;Indv. Boilers (incl. micro CHP);Househ;Househ - Biomass;83.01;;;;;;
272;pes;Renewable;VRES;RES;Primary energy supply;;;Househ;Househ - Renewable;0.0;;;;;;
273;pes;H2 etc.;Hydrogen;RES;Primary energy supply;Individual supply;Indv. Boilers (incl. micro CHP);Househ;Househ - H2 etc.;0.0;;;;;;
274;pes;Biofuel;Biomass, biofuels & waste;RES;Primary energy supply;;;Househ;Househ - Biofuel;0.0;;;;;;
275;pes;Nucl/CCS;Nuclear;Nuclear;Primary energy supply;;;Househ;Househ - Nucl/CCS;0.0;;;;;;
276;pes;Coal;Fossil fuel;Fossil fuel;Primary energy supply;Industry ( & other);Industry ( & other);Ind/Var;Ind/Var - Coal;49.32;;;;;;
277;pes;Oil;Fossil fuel;Fossil fuel;Primary energy supply;Industry ( & other);Industry ( & other);Ind/Var;Ind/Var - Oil;76.2;;;;;;
278;pes;N.Gas;Fossil fuel;Fossil fuel;Primary energy supply;Industry ( & other);Industry ( & other);Ind/Var;Ind/Var - N.Gas;115.08;;;;;;
279;pes;Biomass;Biomass, biofuels & waste;RES;Primary energy supply;Industry ( & other);Industry ( & other);Ind/Var;Ind/Var - Biomass;14.04;;;;;;
280;pes;Renewable;VRES;RES;Primary energy supply;;;Ind/Var;Ind/Var - Renewable;0.0;;;;;;
281;pes;H2 etc.;Hydrogen;RES;Primary energy supply;;;Ind/Var;Ind/Var - H2 etc.;0.0;;;;;;
282;pes;Biofuel;Biomass, biofuels & waste;RES;Primary energy supply;;;Ind/Var;Ind/Var - Biofuel;0.0;;;;;;
283;pes;Nucl/CCS;Nuclear;Nuclear;Primary energy supply;;;Ind/Var;Ind/Var - Nucl/CCS;0.0;;;;;;
284;co2;;;Fossil fuel;Emisisons;GHG emissions;CO2 emissions;CO2 emissions;CO2-emission (corrected);340.048;;;;;;
285;inv;;;Renewable heat;Costs;annual investment;Renewable heat;;Solar thermal;0.0;;;;;;
286;inv;;;Heat and electricity;Costs;annual investment;Heat and power (CHP & PP);;Small CHP units;0.0;;;;;;
287;inv;;;Heat and electricity;Costs;annual investment;Heat pumps (DH);;Heat Pump gr. 2;0.0;;;;;;
288;inv;;;Heat and electricity;Costs;annual investment;Thermal storage;;Heat Storage CHP;0.0;;;;;;
289;inv;;;Heat and electricity;Costs;annual investment;Thermal storage;;Large CHP units;108.0;;;;;;
290;inv;;;Heat and electricity;Costs;annual investment;Heat and power (CHP & PP);;Heat Pump gr. 3;0.0;;;;;;
291;inv;;;Heat and electricity;Costs;annual investment;Thermal storage;;Heat Storage Solar;0.0;;;;;;
292;inv;;;Heat and electricity;Costs;annual investment;Boilers (DH);;Boilers gr. 2 and 3;68.0;;;;;;
293;inv;;;Heat and electricity;Costs;annual investment;Heat and power (CHP & PP);;Large Power Plants;1893.0;;;;;;
294;inv;;;Renewable energy;Costs;annual investment;Wind;;Wind;705.0;;;;;;
295;inv;;;Renewable energy;Costs;annual investment;Wind;;Wind offshore;93.0;;;;;;
296;inv;;;Renewable energy;Costs;annual investment;Solar;;Photo Voltaic;77.0;;;;;;
297;inv;;;Renewable energy;Costs;annual investment;Marine;;Wave power;0.0;;;;;;
298;inv;;;Renewable energy;Costs;annual investment;Hydro;;River of hydro;0.0;;;;;;
299;inv;;;Renewable energy;Costs;annual investment;Hydro;;Hydro Power;119.0;;;;;;
300;inv;;;Renewable energy;Costs;annual investment;Hydro;;Hydro Storage;0.0;;;;;;
301;inv;;;Renewable energy;Costs;annual investment;Hydro;;Hydro Pump;0.0;;;;;;
302;inv;;;Renewable energy;Costs;annual investment;Nuclear plants;;Nuclear;1995.0;;;;;;
303;inv;;;Renewable energy;Costs;annual investment;Geothermal;;Geothermal Electr.;2.0;;;;;;
304;inv;;;Liquid and gas fuels;Costs;annual investment;Electrolyser;;Electrolyser;0.0;;;;;;
305;inv;;;Liquid and gas fuels;Costs;annual investment;Liquid and gas storage;;Hydrogen Storage;0.0;;;;;;
306;inv;;;Heat and electricity;Costs;annual investment;Electricity storage;;Charge el1 storage;33.0;;;;;;
307;inv;;;Heat and electricity;Costs;annual investment;Electricity storage;;Discharge el1 storage;33.0;;;;;;
308;inv;;;Heat and electricity;Costs;annual investment;Electricity storage;;El1 storage cap;0.0;;;;;;
309;inv;;;Individual heat;Costs;annual investment;Boilers (Indv.);;Indv. boilers;8306.0;;;;;;
310;inv;;;Individual heat;Costs;annual investment;Micro CHP (Indv.);;Indv. CHP;0.0;;;;;;
311;inv;;;Individual heat;Costs;annual investment;Heat pumps (Indv.);;Indv. Heat Pump;108.0;;;;;;
312;inv;;;Individual heat;Costs;annual investment;Boilers (Indv.);;Indv. Electric heat;658.0;;;;;;
313;inv;;;Individual heat;Costs;annual investment;Solar thermal (Indv.);;Indv. Solar thermal;0.0;;;;;;
314;inv;;;Liquid and gas fuels;Costs;annual investment;Biogas;;BioGas Upgrade;44.0;;;;;;
315;inv;;;Liquid and gas fuels;Costs;annual investment;Biogas;;Gasification Upgrade;0.0;;;;;;
316;inv;;;Heat and electricity;Costs;annual investment;Boilers (DH);;DHP Boiler group 1;0.0;;;;;;
317;inv;;;Heat and electricity;Costs;annual investment;Heat and power (CHP & PP);;Waste CHP;14.0;;;;;;
318;inv;;;Heat and electricity;Costs;annual investment;Heat pumps (DH);;Absorp. HP (Waste);0.0;;;;;;
319;inv;;;Liquid and gas fuels;Costs;annual investment;Biofuel conversion;;Biogas Plant;185.0;;;;;;
320;inv;;;Liquid and gas fuels;Costs;annual investment;Biofuel conversion;;Gasification Plant;0.0;;;;;;
321;inv;;;Liquid and gas fuels;Costs;annual investment;Biofuel conversion;;BioDiesel Plant;647.0;;;;;;
322;inv;;;Liquid and gas fuels;Costs;annual investment;Biofuel conversion;;BioPetrol Plant;0.0;;;;;;
323;inv;;;Liquid and gas fuels;Costs;annual investment;Biofuel conversion;;BioJPPlant;0.0;;;;;;
324;inv;;;Renewable energy;Costs;annual investment;Marine;;Tidal Power;0.0;;;;;;
325;inv;;;Renewable energy;Costs;annual investment;Solar;;CSP Solar Power;0.0;;;;;;
326;inv;;;Liquid and gas fuels;Costs;annual investment;CCS;;Carbon Recycling;0.0;;;;;;
327;inv;;;Liquid and gas fuels;Costs;annual investment;Biofuel conversion;;Methanation;0.0;;;;;;
328;inv;;;Liquid and gas fuels;Costs;annual investment;Biofuel conversion;;Liquidation + JP;0.0;;;;;;
329;inv;;;Desalination;Costs;annual investment;Desalination;;Desalination Plant;0.0;;;;;;
330;inv;;;Desalination;Costs;annual investment;Water storage;;Water storage;0.0;;;;;;
331;inv;;;Liquid and gas fuels;Costs;annual investment;Liquid and gas storage;;Gas Storage;0.0;;;;;;
332;inv;;;Liquid and gas fuels;Costs;annual investment;Liquid and gas storage;;Oil Storage;0.0;;;;;;
333;inv;;;Liquid and gas fuels;Costs;annual investment;Liquid and gas storage;;Methanol Storage;0.0;;;;;;
334;inv;;;Heat and electricity;Costs;annual investment;Interconnection;;Interconnection;0.0;;;;;;
335;inv;;;Renewable energy;Costs;annual investment;Geothermal;;Geothermal Heat;0.0;;;;;;
336;inv;;;Renewable energy;Costs;annual investment;Excess heat;;Indust. Excess Heat;0.0;;;;;;
337;inv;;;Heat and electricity;Costs;annual investment;Heat and power (CHP & PP);;Indust. CHP Electr.;0.0;;;;;;
338;inv;;;Heat and electricity;Costs;annual investment;Heat and power (CHP & PP);;Indust. CHP Heat;0.0;;;;;;
339;inv;;;Heat and electricity;Costs;annual investment;Boilers (DH);;Electr Boiler Gr 2+3;0.0;;;;;;
340;inv;;;Road Vehicles;Costs;annual investment;Transport;;Bicycles;0.0;;;;;;
341;inv;;;Road Vehicles;Costs;annual investment;Transport;;Motorbikes;0.0;;;;;;
342;inv;;;Road Vehicles;Costs;annual investment;Transport;;Electric Cars;0.0;;;;;;
343;inv;;;Road Vehicles;Costs;annual investment;Transport;;Conventional Cars;0.0;;;;;;
344;inv;;;Road Vehicles;Costs;annual investment;Transport;;DME Buses;0.0;;;;;;
345;inv;;;Road Vehicles;Costs;annual investment;Transport;;Diesel Buses;0.0;;;;;;
346;inv;;;Road Vehicles;Costs;annual investment;Transport;;DME Trucks;0.0;;;;;;
347;inv;;;Road Vehicles;Costs;annual investment;Transport;;Diesel Trucks;0.0;;;;;;
348;inv;;;Heat and electricity;Costs;annual investment;Electricity storage;;El1 storage cap;0.0;;is it actually El2 ?;;;;
349;inv;;;Renewable heat;Costs;fixed OM;Renewable heat;;Solar thermal;0.0;;;;;;
350;inv;;;Heat and electricity;Costs;fixed OM;Heat and power (CHP & PP);;Small CHP units;0.0;;;;;;
351;inv;;;Heat and electricity;Costs;fixed OM;Heat pumps (DH);;Heat Pump gr. 2;0.0;;;;;;
352;inv;;;Heat and electricity;Costs;fixed OM;Thermal storage;;Heat Storage CHP;0.0;;;;;;
353;inv;;;Heat and electricity;Costs;fixed OM;Thermal storage;;Large CHP units;91.0;;;;;;
354;inv;;;Heat and electricity;Costs;fixed OM;Heat and power (CHP & PP);;Heat Pump gr. 3;0.0;;;;;;
355;inv;;;Heat and electricity;Costs;fixed OM;Thermal storage;;Heat Storage Solar;0.0;;;;;;
356;inv;;;Heat and electricity;Costs;fixed OM;Boilers (DH);;Boilers gr. 2 and 3;60.0;;;;;;
357;inv;;;Heat and electricity;Costs;fixed OM;Heat and power (CHP & PP);;Large Power Plants;1331.0;;;;;;
358;inv;;;Renewable energy;Costs;fixed OM;Wind;;Wind;247.0;;;;;;
359;inv;;;Renewable energy;Costs;fixed OM;Wind;;Wind offshore;48.0;;;;;;
360;inv;;;Renewable energy;Costs;fixed OM;Solar;;Photo Voltaic;58.0;;;;;;
361;inv;;;Renewable energy;Costs;fixed OM;Marine;;Wave power;0.0;;;;;;
362;inv;;;Renewable energy;Costs;fixed OM;Hydro;;River of hydro;0.0;;;;;;
363;inv;;;Renewable energy;Costs;fixed OM;Hydro;;Hydro Power;109.0;;;;;;
364;inv;;;Renewable energy;Costs;fixed OM;Hydro;;Hydro Storage;0.0;;;;;;
365;inv;;;Renewable energy;Costs;fixed OM;Hydro;;Hydro Pump;0.0;;;;;;
366;inv;;;Renewable energy;Costs;fixed OM;Nuclear plants;;Nuclear;1117.0;;;;;;
367;inv;;;Renewable energy;Costs;fixed OM;Geothermal;;Geothermal Electr.;1.0;;;;;;
368;inv;;;Liquid and gas fuels;Costs;fixed OM;Electrolyser;;Electrolyser;0.0;;;;;;
369;inv;;;Liquid and gas fuels;Costs;fixed OM;Liquid and gas storage;;Hydrogen Storage;0.0;;;;;;
370;inv;;;Heat and electricity;Costs;fixed OM;Electricity storage;;Charge el1 storage;25.0;;;;;;
371;inv;;;Heat and electricity;Costs;fixed OM;Electricity storage;;Discharge el1 storage;25.0;;;;;;
372;inv;;;Heat and electricity;Costs;fixed OM;Electricity storage;;El1 storage cap;0.0;;;;;;
373;inv;;;Individual heat;Costs;fixed OM;Boilers (Indv.);;Indv. boilers;166.0;;;;;;
374;inv;;;Individual heat;Costs;fixed OM;Micro CHP (Indv.);;Indv. CHP;0.0;;;;;;
375;inv;;;Individual heat;Costs;fixed OM;Heat pumps (Indv.);;Indv. Heat Pump;58.0;;;;;;
376;inv;;;Individual heat;Costs;fixed OM;Boilers (Indv.);;Indv. Electric heat;158.0;;;;;;
377;inv;;;Individual heat;Costs;fixed OM;Solar thermal (Indv.);;Indv. Solar thermal;0.0;;;;;;
378;inv;;;Liquid and gas fuels;Costs;fixed OM;Biogas;;BioGas Upgrade;17.0;;;;;;
379;inv;;;Liquid and gas fuels;Costs;fixed OM;Biogas;;Gasification Upgrade;0.0;;;;;;
380;inv;;;Heat and electricity;Costs;fixed OM;Boilers (DH);;DHP Boiler group 1;0.0;;;;;;
381;inv;;;Heat and electricity;Costs;fixed OM;Heat and power (CHP & PP);;Waste CHP;11.0;;;;;;
382;inv;;;Heat and electricity;Costs;fixed OM;Heat pumps (DH);;Absorp. HP (Waste);0.0;;;;;;
383;inv;;;Liquid and gas fuels;Costs;fixed OM;Biofuel conversion;;Biogas Plant;519.0;;;;;;
384;inv;;;Liquid and gas fuels;Costs;fixed OM;Biofuel conversion;;Gasification Plant;0.0;;;;;;
385;inv;;;Liquid and gas fuels;Costs;fixed OM;Biofuel conversion;;BioDiesel Plant;780.0;;;;;;
386;inv;;;Liquid and gas fuels;Costs;fixed OM;Biofuel conversion;;BioPetrol Plant;0.0;;;;;;
387;inv;;;Liquid and gas fuels;Costs;fixed OM;Biofuel conversion;;BioJPPlant;0.0;;;;;;
388;inv;;;Renewable energy;Costs;fixed OM;Marine;;Tidal Power;0.0;;;;;;
389;inv;;;Renewable energy;Costs;fixed OM;Solar;;CSP Solar Power;0.0;;;;;;
390;inv;;;Liquid and gas fuels;Costs;fixed OM;CCS;;Carbon Recycling;0.0;;;;;;
391;inv;;;Liquid and gas fuels;Costs;fixed OM;Biofuel conversion;;Methanation;0.0;;;;;;
392;inv;;;Liquid and gas fuels;Costs;fixed OM;Biofuel conversion;;Liquidation + JP;0.0;;;;;;
393;inv;;;Desalination;Costs;fixed OM;Desalination;;Desalination Plant;0.0;;;;;;
394;inv;;;Desalination;Costs;fixed OM;Water storage;;Water storage;0.0;;;;;;
395;inv;;;Liquid and gas fuels;Costs;fixed OM;Liquid and gas storage;;Gas Storage;0.0;;;;;;
396;inv;;;Liquid and gas fuels;Costs;fixed OM;Liquid and gas storage;;Oil Storage;0.0;;;;;;
397;inv;;;Liquid and gas fuels;Costs;fixed OM;Liquid and gas storage;;Methanol Storage;0.0;;;;;;
398;inv;;;Heat and electricity;Costs;fixed OM;Interconnection;;Interconnection;0.0;;;;;;
399;inv;;;Renewable energy;Costs;fixed OM;Geothermal;;Geothermal Heat;0.0;;;;;;
400;inv;;;Renewable energy;Costs;fixed OM;Excess heat;;Indust. Excess Heat;0.0;;;;;;
401;inv;;;Heat and electricity;Costs;fixed OM;Heat and power (CHP & PP);;Indust. CHP Electr.;0.0;;;;;;
402;inv;;;Heat and electricity;Costs;fixed OM;Heat and power (CHP & PP);;Indust. CHP Heat;0.0;;;;;;
403;inv;;;Heat and electricity;Costs;fixed OM;Boilers (DH);;Electr Boiler Gr 2+3;0.0;;;;;;
404;inv;;;Road Vehicles;Costs;fixed OM;Transport;;Bicycles;0.0;;;;;;
405;inv;;;Road Vehicles;Costs;fixed OM;Transport;;Motorbikes;0.0;;;;;;
406;inv;;;Road Vehicles;Costs;fixed OM;Transport;;Electric Cars;0.0;;;;;;
407;inv;;;Road Vehicles;Costs;fixed OM;Transport;;Conventional Cars;0.0;;;;;;
408;inv;;;Road Vehicles;Costs;fixed OM;Transport;;DME Buses;0.0;;;;;;
409;inv;;;Road Vehicles;Costs;fixed OM;Transport;;Diesel Buses;0.0;;;;;;
410;inv;;;Road Vehicles;Costs;fixed OM;Transport;;DME Trucks;0.0;;;;;;
411;inv;;;Road Vehicles;Costs;fixed OM;Transport;;Diesel Trucks;0.0;;;;;;
412;inv;;;Heat and electricity;Costs;fixed OM;Electricity storage;;El1 storage cap;0.0;;;;;;
413;ad_inv;;;;Costs;annual investment;;;Heat savings cost;187.0;;should probably hard code this so it takes any incoming value;;;;
414;ad_inv;;;;Costs;annual investment;;;DH grid;226.0;;;;;;
415;ad_inv;;;;Costs;annual investment;;;CO2 Underground storage;0.0;;;;;;
416;ad_inv;;;;Costs;annual investment;;;Power Grid;71.0;;;;;;
417;ad_inv;;;;Costs;annual investment;;;Industry savings;11.0;;;;;;
418;ad_inv;;;;Costs;annual investment;;;Transport;813.0;;;;;;
419;ad_inv;;;;Costs;fixed OM;;;Heat savings cost;24.0;;;;;;
420;ad_inv;;;;Costs;fixed OM;;;DH grid;0.0;;;;;;
421;ad_inv;;;;Costs;fixed OM;;;CO2 Underground storage;0.0;;;;;;
422;ad_inv;;;;Costs;fixed OM;;;Power Grid;0.0;;;;;;
423;ad_inv;;;;Costs;fixed OM;;;Industry savings;0.0;;;;;;
424;ad_inv;;;;Costs;fixed OM;;;Transport;0.0;;;;;;
425;inv;;;;Costs;variable cost;Fuel excl. natural gas exchange;;Coal;2128.0;;;;;;
426;inv;;;;Costs;variable cost;Fuel excl. natural gas exchange;;FuelOil;27.0;;;;;;
427;inv;;;;Costs;variable cost;Fuel excl. natural gas exchange;;Gasoil/Diesel;17442.0;;;;;;
428;inv;;;;Costs;variable cost;Fuel excl. natural gas exchange;;Petrol/JP;0.0;;;;;;
429;inv;;;;Costs;variable cost;Fuel excl. natural gas exchange;;Gas handling;1874.0;;;;;;
430;inv;;;;Costs;variable cost;Fuel excl. natural gas exchange;;Biomass;7324.0;;;;;;
431;inv;;;;Costs;variable cost;Fuel excl. natural gas exchange;;Food income;0.0;;;;;;
432;inv;;;;Costs;variable cost;Fuel excl. natural gas exchange;;Waste;0.0;;;;;;
433;inv;;;;Costs;variable cost;Ngas Exchange costs;;Ngas Exchange costs;15154.0;;;;;;
434;inv;;;;Costs;variable cost;Marginal operation costs;;Marginal operation costs;331.0;;;;;;
435;inv;;;;Costs;variable cost;Electricity exchange;;Import;0.0;;;;;;
436;inv;;;;Costs;variable cost;Electricity exchange;;Export;-1462.0;;;;;;
437;inv;;;;Costs;variable cost;Electricity exchange;;Bottleneck;1462.0;;;;;;
438;inv;;;;Costs;variable cost;Electricity exchange;;Fixed imp/exp;0.0;;;;;;
439;inv;;;;Costs;variable cost;CO2 costs;;CO2 emission costs;14480.0;;;;;;
