EP_ind;source;source type;input vector/activity;activity type;output vector/activity;carrier/technology;carrier/technology type;attribute name
summary;;;Biogas & biofuel conversion;Supply;Natural gas;Natural gas exchange;Natural gas supply;Syngas 
summary;;;Biogas & biofuel conversion;Supply;Natural gas;Natural gas exchange;Natural gas supply;CO2HyGas 
summary;;;Biogas & biofuel conversion;Supply;Natural gas;Natural gas exchange;Natural gas supply;SynHyGas 
summary;;;Biogas & biofuel conversion;Supply;Natural gas;Natural gas exchange;Natural gas supply;SynFuel 
summary;;;Gas storage;Fuel storage;Gas storage;Natural gas exchange;Natural gas storage;Storage 
summary;;;Gas storage;Fuel storage;Gas storage;Natural gas exchange;Natural gas storage;Storage Content
summary;;;;Supply;;Natural gas exchange;;Sum 
summary;;;PES;Consumption;Natural gas;Natural gas exchange;Natural gas import;Import Gas
summary;;;Biogas & biofuel conversion;Supply;PES;Natural gas exchange;Natural gas export;Export Gas
summary;;;Desalination;Desalination volume;Fresh water;Desalination;Fresh water;FreshW Demand
summary;;;Water & brine storage;Storage;Water & brine storage;Desalination;Fresh water storage;FreshW Storage
summary;;;Salt water;Consumption;Desalination;Desalination;Salt water;SaltW Demand
summary;;;Desalination;Supply;Brine;Desalination;Brine;Brine Prod.
summary;;;Water & brine storage;Desalination volume;Water & brine storage;Desalination;Brine storage;Brine Storage
summary;;;Electricity supply;Consumption;Electricity consumption;Desalination;Desalination plant el. demand;Desal.Pl Electr.
summary;;;Electricity supply;Consumption;Electricity consumption;Desalination;Fresh water el. demand;FWPump Electr.
summary;;;Hydro;Supply;Electricity supply;Hydro;Turbine;Turbine Electr.
summary;;;Electricity supply;Consumption;Electricity consumption;Hydro;Pump hydro (desalination);Pump Electr.
summary;;;Cooling supply;Supply;Cooling demand;District cooling;Absorption cooling;CoolGr1 Demand
summary;;;Cooling supply;Supply;Cooling demand;District cooling;Absorption cooling;CoolGr2 Demand
summary;;;Cooling supply;Supply;Cooling demand;District cooling;Absorption cooling;CoolGr3 Demand
summary;;;Cooling supply;Supply;Cooling demand;Cooling;Compression cooling;Cool-El Demand
summary;;;Cooling supply;Supply;Cooling demand;District cooling;Natural cooling;CoolGr1 Natural
summary;;;Cooling supply;Supply;Cooling demand;District cooling;Natural cooling;CoolGr2 Natural
summary;;;Cooling supply;Supply;Cooling demand;District cooling;Natural cooling;CoolGr3 Natural
summary;;;District heating supply;Consumption;Cooling supply;District cooling;Absorption cooling;Cooling DHgr1
summary;;;District heating supply;Consumption;Cooling supply;District cooling;Absorption cooling;Cooling DHgr2
summary;;;District heating supply;Consumption;Cooling supply;District cooling;Absorption cooling;Cooling DHgr3
summary;;;Electricity supply;Consumption;Cooling supply;Cooling;Compresion cooling;Cooling Electr.
pes;Coal;Fossil fuel;Fossil fuel;Primary energy supply;Heat and power (CHP, PP, Boilers);DH Boilers;DHP;DHP - Coal
pes;Oil;Fossil fuel;Fossil fuel;Primary energy supply;Heat and power (CHP, PP, Boilers);DH Boilers;DHP;DHP - Oil
pes;N.Gas;Fossil fuel;Fossil fuel;Primary energy supply;Heat and power (CHP, PP, Boilers);DH Boilers;DHP;DHP - N.Gas
pes;Biomass;Biomass, biofuels & waste;RES;Primary energy supply;Heat and power (CHP, PP, Boilers);DH Boilers;DHP;DHP - Biomass
pes;Renewable;VRES;RES;Primary energy supply;;;DHP;DHP - Renewable
pes;H2 etc.;Hydrogen;RES;Primary energy supply;Heat and power (CHP, PP, Boilers);DH Boilers;DHP;DHP - H2 etc.
pes;Biofuel;Biomass, biofuels & waste;RES;Primary energy supply;Heat and power (CHP, PP, Boilers);DH Boilers;DHP;DHP - Biofuel
pes;Nucl/CCS;Nuclear;Nuclear;Primary energy supply;;;DHP;DHP - Nucl/CCS
pes;Coal;Fossil fuel;Fossil fuel;Primary energy supply;Heat and power (CHP, PP, Boilers);CHP plants;CHP2;CHP2 - Coal
pes;Oil;Fossil fuel;Fossil fuel;Primary energy supply;Heat and power (CHP, PP, Boilers);CHP plants;CHP2;CHP2 - Oil
pes;N.Gas;Fossil fuel;Fossil fuel;Primary energy supply;Heat and power (CHP, PP, Boilers);CHP plants;CHP2;CHP2 - N.Gas
pes;Biomass;Biomass, biofuels & waste;RES;Primary energy supply;Heat and power (CHP, PP, Boilers);CHP plants;CHP2;CHP2 - Biomass
pes;Renewable;VRES;RES;Primary energy supply;;;CHP2;CHP2 - Renewable
pes;H2 etc.;Hydrogen;RES;Primary energy supply;Heat and power (CHP, PP, Boilers);CHP plants;CHP2;CHP2 - H2 etc.
pes;Biofuel;Biomass, biofuels & waste;RES;Primary energy supply;Heat and power (CHP, PP, Boilers);CHP plants;CHP2;CHP2 - Biofuel
pes;Nucl/CCS;Nuclear;Nuclear;Primary energy supply;;;CHP2;CHP2 - Nucl/CCS
pes;Coal;Fossil fuel;Fossil fuel;Primary energy supply;Heat and power (CHP, PP, Boilers);CHP plants;CHP3;CHP3 - Coal
pes;Oil;Fossil fuel;Fossil fuel;Primary energy supply;Heat and power (CHP, PP, Boilers);CHP plants;CHP3;CHP3 - Oil
pes;N.Gas;Fossil fuel;Fossil fuel;Primary energy supply;Heat and power (CHP, PP, Boilers);CHP plants;CHP3;CHP3 - N.Gas
pes;Biomass;Biomass, biofuels & waste;RES;Primary energy supply;Heat and power (CHP, PP, Boilers);CHP plants;CHP3;CHP3 - Biomass
pes;Renewable;VRES;RES;Primary energy supply;;;CHP3;CHP3 - Renewable
pes;H2 etc.;Hydrogen;RES;Primary energy supply;Heat and power (CHP, PP, Boilers);CHP plants;CHP3;CHP3 - H2 etc.
pes;Biofuel;Biomass, biofuels & waste;RES;Primary energy supply;Heat and power (CHP, PP, Boilers);CHP plants;CHP3;CHP3 - Biofuel
pes;Nucl/CCS;Nuclear;Nuclear;Primary energy supply;;;CHP3;CHP3 - Nucl/CCS
pes;Coal;Fossil fuel;Fossil fuel;Primary energy supply;Heat and power (CHP, PP, Boilers);DH Boilers;Boiler2;Boiler2 - Coal
pes;Oil;Fossil fuel;Fossil fuel;Primary energy supply;Heat and power (CHP, PP, Boilers);DH Boilers;Boiler2;Boiler2 - Oil
pes;N.Gas;Fossil fuel;Fossil fuel;Primary energy supply;Heat and power (CHP, PP, Boilers);DH Boilers;Boiler2;Boiler2 - N.Gas
pes;Biomass;Biomass, biofuels & waste;RES;Primary energy supply;Heat and power (CHP, PP, Boilers);DH Boilers;Boiler2;Boiler2 - Biomass
pes;Renewable;VRES;RES;Primary energy supply;;;Boiler2;Boiler2 - Renewable
pes;H2 etc.;Hydrogen;RES;Primary energy supply;Heat and power (CHP, PP, Boilers);DH Boilers;Boiler2;Boiler2 - H2 etc.
pes;Biofuel;Biomass, biofuels & waste;RES;Primary energy supply;Heat and power (CHP, PP, Boilers);DH Boilers;Boiler2;Boiler2 - Biofuel
pes;Nucl/CCS;Nuclear;Nuclear;Primary energy supply;;;Boiler2;Boiler2 - Nucl/CCS
pes;Coal;Fossil fuel;Fossil fuel;Primary energy supply;Heat and power (CHP, PP, Boilers);DH Boilers;Boiler3;Boiler3 - Coal
pes;Oil;Fossil fuel;Fossil fuel;Primary energy supply;Heat and power (CHP, PP, Boilers);DH Boilers;Boiler3;Boiler3 - Oil
pes;N.Gas;Fossil fuel;Fossil fuel;Primary energy supply;Heat and power (CHP, PP, Boilers);DH Boilers;Boiler3;Boiler3 - N.Gas
pes;Biomass;Biomass, biofuels & waste;RES;Primary energy supply;Heat and power (CHP, PP, Boilers);DH Boilers;Boiler3;Boiler3 - Biomass
pes;Renewable;VRES;RES;Primary energy supply;;;Boiler3;Boiler3 - Renewable
pes;H2 etc.;Hydrogen;RES;Primary energy supply;Heat and power (CHP, PP, Boilers);DH Boilers;Boiler3;Boiler3 - H2 etc.
pes;Biofuel;Biomass, biofuels & waste;RES;Primary energy supply;Heat and power (CHP, PP, Boilers);DH Boilers;Boiler3;Boiler3 - Biofuel
pes;Nucl/CCS;Nuclear;Nuclear;Primary energy supply;;;Boiler3;Boiler3 - Nucl/CCS
pes;Coal;Fossil fuel;Fossil fuel;Primary energy supply;Heat and power (CHP, PP, Boilers);Condensing power plants;PP;PP - Coal
pes;Oil;Fossil fuel;Fossil fuel;Primary energy supply;Heat and power (CHP, PP, Boilers);Condensing power plants;PP;PP - Oil
pes;N.Gas;Fossil fuel;Fossil fuel;Primary energy supply;Heat and power (CHP, PP, Boilers);Condensing power plants;PP;PP - N.Gas
pes;Biomass;Biomass, biofuels & waste;RES;Primary energy supply;Heat and power (CHP, PP, Boilers);Condensing power plants;PP;PP - Biomass
pes;Renewable;VRES;RES;Primary energy supply;;;PP;PP - Renewable
pes;H2 etc.;Hydrogen;RES;Primary energy supply;Heat and power (CHP, PP, Boilers);Condensing power plants;PP;PP - H2 etc.
pes;Biofuel;Biomass, biofuels & waste;RES;Primary energy supply;Heat and power (CHP, PP, Boilers);Condensing power plants;PP;PP - Biofuel
pes;Nucl/CCS;Nuclear;Nuclear;Primary energy supply;Heat and power (CHP, PP, Boilers);Condensing power plants;PP;PP - Nucl/CCS
pes;Coal;Fossil fuel;Fossil fuel;;;;Geo/Nu.;Geo/Nu. - Coal
pes;Oil;Fossil fuel;Fossil fuel;;;;Geo/Nu.;Geo/Nu. - Oil
pes;N.Gas;Fossil fuel;Fossil fuel;;;;Geo/Nu.;Geo/Nu. - N.Gas
pes;Biomass;Biomass, biofuels & waste;RES;;;;Geo/Nu.;Geo/Nu. - Biomass
pes;Geothermal;Geothermal;RES;Primary energy supply;Geothermal electr.;Geothermal;Geothermal;Geo/Nu. - Renewable
pes;H2 etc.;Hydrogen;RES;;;;Geo/Nu.;Geo/Nu. - H2 etc.
pes;Biofuel;Biomass, biofuels & waste;RES;;;;Geo/Nu.;Geo/Nu. - Biofuel
pes;Nucl/CCS;Nuclear;Nuclear;Primary energy supply;Nuclear electr.;Nuclear plants;Nuclear;Geo/Nu. - Nucl/CCS
pes;Coal;Fossil fuel;Fossil fuel;;;;Hydro;Hydro - Coal
pes;Oil;Fossil fuel;Fossil fuel;;;;Hydro;Hydro - Oil
pes;N.Gas;Fossil fuel;Fossil fuel;;;;Hydro;Hydro - N.Gas
pes;Biomass;Biomass, biofuels & waste;RES;;;;Hydro;Hydro - Biomass
